Date,Closing Price,Open,High,Low
2020-04-21,0.0019813896,0.001986862,0.0020018072,0.0019275614
2020-04-22,0.002007836,0.0019791676,0.0020377436,0.0019359898
2020-04-23,0.0020575529,0.0020079747,0.0021615836,0.0019810945
2020-04-24,0.0020593744,0.0020563357,0.0021160641,0.0020195957
2020-04-25,0.0021247625,0.0020592668,0.0021712743,0.002037948
2020-04-26,0.0024321389,0.002124764,0.0024484065,0.0021081396
2020-04-27,0.0023509211,0.0024321571,0.0024412087,0.0022702549
2020-04-28,0.0023271481,0.0023528888,0.0023860434,0.0022717773
2020-04-29,0.0025254971,0.0023272357,0.0025717596,0.0022763836
2020-04-30,0.002456348,0.002525426,0.0027050737,0.0023639183
2020-05-01,0.0025014818,0.0024563953,0.0025763225,0.0024205757
2020-05-02,0.0025437812,0.0025015124,0.0025801236,0.0024197805
2020-05-03,0.0025138632,0.0025302834,0.0026293617,0.0024627823
2020-05-04,0.0024359059,0.002513867,0.0025457429,0.0023353626
2020-05-05,0.0024931876,0.0024359834,0.0025255631,0.002404341
2020-05-06,0.0025615938,0.0024931317,0.0025829344,0.002442898
2020-05-07,0.002603887,0.0025614946,0.0027280559,0.0024625978
2020-05-08,0.0026098795,0.0026039079,0.0026840074,0.002567629
2020-05-09,0.0026379129,0.0026107919,0.0026648416,0.0025393077
2020-05-10,0.0024642395,0.0026293562,0.0026485417,0.0022302259
2020-05-11,0.0024106975,0.0024654793,0.002554278,0.002288029
2020-05-12,0.0024261877,0.0024107868,0.0025611521,0.0023570215
2020-05-13,0.0025235296,0.0024250076,0.0025769219,0.0024140927
2020-05-14,0.0026010916,0.0025235656,0.0026897995,0.0025044843
2020-05-15,0.0024934797,0.0026010917,0.002617169,0.0024520988
2020-05-16,0.00249137,0.0024935447,0.0025483082,0.0024544303
2020-05-17,0.0025588357,0.0024908531,0.0026048109,0.002480512
2020-05-18,0.0025696757,0.0025579286,0.0026162236,0.0024997107
2020-05-19,0.0025379437,0.0025693741,0.0026146113,0.0024824077
2020-05-20,0.002529521,0.0025379099,0.002598088,0.0024525979
2020-05-21,0.0025417342,0.002529444,0.0025950232,0.0023927592
2020-05-22,0.0025073371,0.0025414299,0.0025644798,0.0024428287
2020-05-23,0.0025174065,0.0025073371,0.0025755326,0.0024761315
2020-05-24,0.0024892596,0.0025173279,0.0025792473,0.0024378581
2020-05-25,0.0025135391,0.0024892561,0.0025711107,0.0024056453
2020-05-26,0.002481123,0.0025135325,0.0025670925,0.0024594081
2020-05-27,0.0024774969,0.002481123,0.0025504086,0.0024120442
2020-05-28,0.0025419256,0.0024774667,0.0025980646,0.0023799804
2020-05-29,0.0025318338,0.0025421336,0.0025697139,0.002467447
2020-05-30,0.0026150824,0.0025327465,0.0026725281,0.0024995844
2020-05-31,0.0025430862,0.0026152305,0.0026498149,0.0025181335
2020-06-01,0.0026710225,0.002543013,0.0027173719,0.0025146885
2020-06-02,0.0025652345,0.0026707959,0.0027078266,0.0024698891
2020-06-03,0.0025631824,0.0025652335,0.0025920383,0.002502719
2020-06-04,0.0025806132,0.0025631858,0.0027176368,0.0025468988
2020-06-05,0.0025635961,0.0025807243,0.0026439301,0.0025409729
2020-06-06,0.0025983842,0.0025635355,0.0026097662,0.0025306183
2020-06-07,0.0026111948,0.0025983842,0.0026355305,0.0025366243
2020-06-08,0.0025933767,0.0026111961,0.0026239839,0.00253691
2020-06-09,0.0025843874,0.0025931948,0.0026086652,0.0024960175
2020-06-10,0.0026182252,0.0025846088,0.0026399766,0.0025416958
2020-06-11,0.0024594017,0.0026182252,0.0026436848,0.0023889816
2020-06-12,0.0025101464,0.0024595503,0.0025306756,0.0024231749
2020-06-13,0.0025316133,0.0025101629,0.0025400914,0.0024681837
2020-06-14,0.0024734612,0.0025316133,0.00254004,0.0024448013
2020-06-15,0.0025010954,0.0024733958,0.0025182246,0.0023650813
2020-06-16,0.0025348024,0.0025011502,0.0025517455,0.0023825003
2020-06-17,0.0024721754,0.002534797,0.0025452308,0.0024323469
2020-06-18,0.0025093516,0.0024721529,0.0025206777,0.0024217746
2020-06-19,0.0024631361,0.0025093563,0.0025134167,0.0024106397
2020-06-20,0.0024632658,0.0024628706,0.0024915922,0.0023980976
2020-06-21,0.0024520022,0.0024630588,0.0024945165,0.00243198
2020-06-22,0.0024995657,0.0024519572,0.0025451185,0.0024135258
2020-06-23,0.0024359903,0.0024995657,0.0025097284,0.0024164675
2020-06-24,0.002472464,0.0024359903,0.0025069374,0.0023417427
2020-06-25,0.0024067916,0.0024724325,0.0024735235,0.0023247217
2020-06-26,0.0023672614,0.0024068097,0.0024774718,0.0023020231
2020-06-27,0.0023138933,0.0023672614,0.0023745153,0.002243127
2020-06-28,0.0022964943,0.0023138953,0.0023549913,0.0022669713
2020-06-29,0.0023010871,0.0022965237,0.0023504725,0.0022818946
2020-06-30,0.002330995,0.0023010865,0.0023434037,0.0022849618
2020-07-01,0.0023484072,0.0023268714,0.0023869253,0.0022918895
2020-07-02,0.0023472079,0.0023185992,0.0023757857,0.0022708582
