Open,High,Low,Close
1.210160,1.215490,1.209580,1.211100
1.210420,1.212320,1.194710,1.205740
0.571249,0.607890,0.568314,0.606502
0.605129,0.606229,0.604416,0.606229
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000
