Open,High,Low,Close
1.803050,1.822990,1.780920,1.820410
1.813560,1.835690,1.804360,1.829320
1.830000,1.831690,1.791480,1.802340
1.808100,1.812540,1.793200,1.810130
1.801170,1.875390,1.797120,1.851420
1.849180,1.849210,1.819460,1.840730
1.845760,1.911680,1.807830,1.891570
1.892420,1.949440,1.863570,1.936100
1.942200,1.972200,1.907070,1.955920
1.956050,1.973650,1.921020,1.930500
1.924480,1.939730,1.864440,1.916410
1.920330,1.929230,1.878190,1.897820
1.893590,1.919340,1.882180,1.910500
1.913530,1.922860,1.877530,1.891860
1.892500,1.945740,1.889130,1.944280
1.944000,2.083450,1.936930,2.009060
2.008240,2.036220,1.986340,2.026280
2.023580,2.071730,1.998190,2.042790
2.042110,2.048020,2.007960,2.007960
2.004090,2.013980,1.993150,1.996050
1.994620,2.034020,1.990450,2.018830
2.021760,2.061630,2.017340,2.033080
2.034470,2.053700,1.977210,1.982150
1.982650,1.987760,1.728640,1.742540
1.743650,1.790150,1.653620,1.759090
1.763280,1.792330,1.751460,1.767210
1.766920,1.767820,1.725520,1.746690
1.745830,1.797720,1.740010,1.797720
1.799680,1.799680,1.751910,1.778160
1.775510,1.777830,1.651590,1.651590
1.654600,1.786470,1.611170,1.673140
1.672720,1.730880,1.646800,1.695490
1.691200,1.698460,1.666630,1.686740
1.682670,1.716390,1.677340,1.703660
1.704590,1.706190,1.643510,1.655680
1.656460,1.684050,1.643630,1.669580
1.669610,1.679990,1.642230,1.652600
1.651030,1.677280,1.630360,1.664630
1.666890,1.692870,1.659580,1.677810
1.676820,1.704460,1.675020,1.698510
1.699830,1.704370,1.673660,1.687850
1.682510,1.711550,1.675130,1.700820
1.701640,1.715850,1.674540,1.686870
1.685980,1.687240,1.666370,1.668420
1.668270,1.676620,1.618020,1.627500
1.619590,1.631300,1.550010,1.585940
1.585260,1.591090,1.515920,1.527040
1.522830,1.537680,1.439000,1.459110
1.458790,1.487230,1.454690,1.462470
1.471760,1.483040,1.367320,1.376900
1.375850,1.391020,1.336220,1.378480
1.375960,1.420540,1.345080,1.383000
1.383240,1.431930,1.373020,1.421450
1.421540,1.441780,1.396070,1.409130
1.409840,1.422720,1.388130,1.409930
1.409870,1.425950,1.379420,1.389170
1.384290,1.415020,1.378960,1.408960
1.408100,1.433960,1.396870,1.423880
1.432200,1.472480,1.421390,1.454190
1.455310,1.463040,1.442150,1.461750
1.458210,1.462170,1.416950,1.419280
1.420410,1.430090,1.396700,1.402910
1.399500,1.402610,1.304020,1.321170
1.321850,1.396350,1.321850,1.383480
1.382640,1.386340,1.352150,1.364020
1.362570,1.368150,1.349490,1.361320
1.360980,1.454570,1.358120,1.439840
1.442850,1.448470,1.406500,1.406590
1.407250,1.426000,1.401890,1.421530
1.419800,1.452740,1.413960,1.432700
1.434610,1.450600,1.405410,1.407660
1.414880,1.422140,1.389880,1.406640
1.406330,1.410900,1.386070,1.388900
1.389730,1.487220,1.383050,1.455180
1.454900,1.491810,1.441820,1.481080
1.480480,1.490660,1.441660,1.448310
1.448300,1.453870,1.422730,1.438740
1.438520,1.452860,1.431910,1.437330
1.438810,1.451320,1.427600,1.445620
1.443810,1.483090,1.443810,1.451420
1.450040,1.457990,1.437290,1.447770
1.447840,1.456260,1.446980,1.454290
1.454700,1.454770,1.399560,1.446130
1.446470,1.458950,1.446350,1.454140
1.453640,1.464430,1.441650,1.446370
1.446780,1.456080,1.443250,1.453190
1.453520,1.462000,1.449500,1.459190
1.460750,1.484330,1.455970,1.478060
1.479490,1.875110,1.479220,1.832300
1.831300,1.904140,1.771920,1.786460
1.787380,1.839100,1.787230,1.831170
1.833410,1.844170,1.787620,1.803320
1.802700,1.817310,1.792540,1.817310
1.816120,1.870390,1.810700,1.845020
1.847000,1.855970,1.829090,1.840750
1.840600,1.844150,1.813980,1.831350
1.830170,1.838190,1.808060,1.813120
1.812090,1.813740,1.629580,1.637080
1.638560,1.677660,1.593390,1.616010
1.616080,1.675720,1.606370,1.669970
1.670500,1.702640,1.661450,1.687180
1.686670,1.689090,1.663730,1.668350
1.669290,1.772340,1.665400,1.760570
1.761060,1.784950,1.750820,1.759810
1.758500,1.773110,1.719260,1.730530
1.731820,1.799460,1.728550,1.786460
1.784910,1.803030,1.782620,1.795820
1.796650,1.796860,1.747730,1.759240
1.759150,1.799680,1.757660,1.792160
1.789600,1.810680,1.788380,1.802190
1.802740,1.862330,1.797200,1.861530
1.860780,2.071490,1.853980,2.002870
2.002350,2.027290,1.993200,2.018250
2.018040,2.878460,2.008670,2.876590
2.896420,3.195350,2.721910,2.888620
2.890330,3.129080,2.882930,3.095070
